t,x,xdot,xddot,drag_aero,drag_hover,drag_ski,drag_brake,aerodrag_contribution,hoverdrag_contribution,skidrag_contribution,brakedrag_contribution,brakegap,Tload_brakes
0.4,0.15696,0.7848,1.962,-0.000116523266829469,-0.0024537637125367,-0.0506848028836199,-0.00454904387402066,0.201582930659629,4.24496234767684,87.6836994292175,7.86975529244603,25,0.0496420221324968
0.41,0.1649061,0.80442,1.962,-0.000122575428617456,-0.0025122120449214,-0.0506808252963721,-0.00465141670243226,0.211457150268392,4.33386369422295,87.430433744328,8.02424541118069,25,0.0495153155298525
0.42,0.1730484,0.82404,1.962,-0.000128780809691215,-0.00257044727933632,-0.0506768480212732,-0.00475313465730884,0.221542333003725,4.42195454814021,87.1796595069394,8.17684361191663,25,0.0493892918424959
0.43,0.1813869,0.84366,1.962,-0.000135139410050745,-0.00262847014520986,-0.0506728710582986,-0.00485420175367327,0.231837069944326,4.5092457978969,86.9313396248452,8.32757750731362,25,0.0492639530564528
0.44,0.1899216,0.86328,1.962,-0.000141651229696048,-0.00268628136948455,-0.0506688944074237,-0.00495462198197585,0.242339979841599,4.59574812253051,86.6854377165621,8.47647418106581,25,0.0491393009331829
0.45,0.1986525,0.8829,1.962,-0.000148316268627122,-0.00274388167662551,-0.0506649180686242,-0.00505439930824475,0.253049708426739,4.68147199666393,86.4419180943815,8.62356020052784,25,0.0490153370202727
0.46,0.2075796,0.90252,1.962,-0.000155134526843968,-0.00280127178862892,-0.0506609420418755,-0.00515353767423563,0.263964927737515,4.76642769537878,86.2007457479029,8.76886162898083,25,0.048892062661565
0.47,0.2167029,0.92214,1.962,-0.000162106004346586,-0.00285845242503046,-0.0506569663271531,-0.00525204099758027,0.275084335464119,4.85062529895034,85.9618863280351,8.91240403755043,25,0.0487694790067593
0.48,0.2260224,0.94176,1.962,-0.000169230701134975,-0.00291542430291368,-0.0506529909244326,-0.00534991317193436,0.286406654313437,4.93407469744874,85.7253061314498,9.05421251678803,25,0.0486475870205157
0.49,0.2355381,0.96138,1.962,-0.000176508617209137,-0.00297218813691843,-0.0506490158336895,-0.00544715806712432,0.29793063139115,5.0167855952109,85.4909720854713,9.19431168792669,25,0.0485263874910923
0.5,0.24525,0.981,1.962,-0.00018393975256907,-0.00302874463924914,-0.0506450410548992,-0.00554377952929325,0.309655037601074,5.0987675151872,85.25885173339,9.33272571382175,25,0.0484058810385434
0.51,0.2551581,1.00062,1.962,-0.000191524107214775,-0.00308509451968318,-0.0506410665880373,-0.00563978138104599,0.321578667061198,5.1800298031672,85.0289132201846,9.46947830958703,25,0.0482860681225055
0.52,0.2652624,1.02024,1.962,-0.000199261681146252,-0.00314123848557912,-0.0506370924330794,-0.00573516742159326,0.333700336535854,5.26058163188816,84.80112527864,9.604592752936,25,0.0481669490495946
