t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,drag_ski,brakegap,Fload_brakes
1.02,2.12613058298355,3.93042234334097,-1.30549748806948,-0.00292413009929334,-0.0697029610713991,-0.0138110168951231,-0.0466401272113992,25,-30.9892698324597
1.03,2.16536962652211,3.91738636437168,-1.30359789692902,-0.00290480134285963,-0.0695480598937569,-0.0137891729822321,-0.0466425628177489,25,-30.9491675912607
1.04,2.20447840532373,3.9043693959521,-1.30169684195791,-0.00288556466570615,-0.0693929895034556,-0.0137672604015746,-0.0466449950070322,25,-30.908870819818
1.05,2.2434571095667,3.89137145264315,-1.29979433089557,-0.00286641980994798,-0.0692377508985161,-0.0137452792052265,-0.0466474237759698,25,-30.8683797072626
1.06,2.28230592957456,3.87839254892776,-1.29789037153842,-0.00284736651770786,-0.0690823450811379,-0.0137232294468726,-0.0466498491212972,25,-30.8276944475731
1.07,2.32102505581525,3.86543269921036,-1.29598497173977,-0.00282840453111825,-0.0689267730576808,-0.0137011111818099,-0.0466522710397647,25,-30.7868152395839
1.08,2.35961467890038,3.85249191781627,-1.29407813940963,-0.00280953359232345,-0.0687710358386461,-0.0136789244669509,-0.0466546895281373,25,-30.7457422869918
1.09,2.39807498958442,3.83957021899112,-1.29216988251464,-0.00279075344348176,-0.0686151344386572,-0.0136566693608274,-0.0466571045831949,25,-30.7044757983638
1.1,2.43640617876388,3.82666761690034,-1.29026020907792,-0.00277206382676758,-0.0684590698764404,-0.0136343459235933,-0.0466595162017327,25,-30.6630159871441
1.11,2.47460843747652,3.81378412562855,-1.2883491271789,-0.00275346448437357,-0.0683028431748058,-0.0136119542170281,-0.0466619243805609,25,-30.6213630716603
1.12,2.51268195690056,3.80091975917902,-1.28643664495321,-0.00273495515851282,-0.0681464553606267,-0.0135894943045398,-0.0466643291165051,25,-30.5795172751304
1.13,2.55062692835382,3.7880745314731,-1.28452277059253,-0.00271653559142101,-0.0679899074648204,-0.0135669662511681,-0.0466667304064062,25,-30.5374788256689
1.14,2.58844354329293,3.77524845634965,-1.28260751234445,-0.00269820552535857,-0.0678332005223276,-0.0135443701235872,-0.0466691282471207,25,-30.495247956293
1.15,2.62613199331251,3.76244154756453,-1.28069087851228,-0.0026799647026129,-0.0676763355720921,-0.0135217059901087,-0.0466715226355208,25,-30.452824904928
1.16,2.66369247014428,3.74965381878998,-1.27877287745497,-0.00266181286550057,-0.06751931365704,-0.0134989739206848,-0.0466739135684942,25,-30.4102099144135
1.17,2.7011251656563,3.73688528361411,-1.27685351758688,-0.00264374975636951,-0.0673621358240589,-0.0134761739869104,-0.0466763010429447,25,-30.3674032325084
1.18,2.73843027185207,3.72413595554033,-1.27493280737768,-0.00262577511760122,-0.067204803123977,-0.0134533062620261,-0.0466786850557919,25,-30.3244051118964
1.19,2.77560798086971,3.71140584798681,-1.27301075535214,-0.00260788869161303,-0.0670473166115411,-0.013430370820921,-0.0466810656039715,25,-30.2812158101901
1.2,2.81265848498107,3.69869497428591,-1.27108737009001,-0.00259009022086033,-0.0668896773453962,-0.0134073677401347,-0.0466834426844353,25,-30.2378355899367
1.21,2.84958197659092,3.68600334768365,-1.26916266022582,-0.00257237944783881,-0.0667318863880623,-0.0133842970978599,-0.0466858162941517,25,-30.1942647186219
1.22,2.88637864823603,3.67333098133917,-1.26723663444875,-0.00255475611508671,-0.0665739448059137,-0.0133611589739451,-0.046688186430105,25,-30.1505034686738
1.23,2.92304869258435,3.66067788832414,-1.26530930150239,-0.00253721996518713,-0.066415853669156,-0.0133379534498964,-0.0466905530892965,25,-30.1065521174678
1.24,2.95959230243408,3.6480440816223,-1.26338067018464,-0.00251977074077025,-0.0662576140518037,-0.0133146806088797,-0.0466929162687437,25,-30.0624109473292
1.25,2.99600967071284,3.63542957412882,-1.26145074934748,-0.00250240818451565,-0.0660992270316581,-0.0132913405357232,-0.046695275965481,25,-30.0180802455376
1.26,3.03230099047673,3.62283437864985,-1.25951954789682,-0.0024851320391546,-0.0659406936902839,-0.0132679333169188,-0.0466976321765597,25,-29.9735603043297
1.27,3.06846645490949,3.61025850790193,-1.25758707479229,-0.00246794204747236,-0.0657820151129862,-0.0132444590406247,-0.0466999848990479,25,-29.9288514209023
1.28,3.10450625732156,3.59770197451146,-1.25565333904707,-0.00245083795231049,-0.0656231923887874,-0.0132209177966669,-0.0467023341300307,25,-29.8839538974152
1.29,3.14042059114918,3.58516479101418,-1.25371834972771,-0.00243381949656919,-0.0654642266104034,-0.0131973096765407,-0.0467046798666105,25,-29.8388680409938
1.3,3.17620964995353,3.57264696985464,-1.25178211595391,-0.00241688642320961,-0.0653051188742202,-0.013173634773413,-0.0467070221059069,25,-29.793594163731
1.31,3.21187362741973,3.56014852338566,-1.24984464689834,-0.00240003847525618,-0.0651458702802694,-0.0131498931821233,-0.0467093608450567,25,-29.7481325826896
1.32,3.247412717356,3.5476694638678,-1.24790595178644,-0.00238327539579899,-0.0649864819322048,-0.0131260849991858,-0.0467116960812143,25,-29.702483619904
1.33,3.28282711369268,3.53520980346883,-1.24596603989623,-0.00236659692799611,-0.0648269549372773,-0.0131022103227903,-0.0467140278115518,25,-29.6566476023815
1.34,3.31811701048134,3.52276955426325,-1.24402492055808,-0.00235000281507597,-0.0646672904063108,-0.0130782692528037,-0.0467163560332586,25,-29.610624862104
1.35,3.35328260189382,3.51034872823171,-1.24208260315452,-0.00233349280033974,-0.0645074894536771,-0.0130542618907715,-0.0467186807435422,25,-29.5644157360285
1.36,3.38832408222128,3.49794733726051,-1.24013909712006,-0.0023170666271637,-0.0643475531972711,-0.0130301883399187,-0.0467210019396278,25,-29.5180205660884
1.37,3.42324164587328,3.4855653931411,-1.2381944119409,-0.00230072403900159,-0.0641874827584854,-0.0130060487051509,-0.0467233196187587,25,-29.4714396991938
1.38,3.45803548737684,3.47320290756955,-1.2362485571548,-0.00228446477938709,-0.0640272792621849,-0.0129818430930557,-0.0467256337781962,25,-29.4246734872315
1.39,3.49270580137542,3.46085989214604,-1.23430154235081,-0.00226828859193612,-0.0638669438366814,-0.0129575716119028,-0.0467279444152198,25,-29.3777222870658
1.4,3.52725278262802,3.44853635837435,-1.23235337716906,-0.00225219522034932,-0.0637064776137074,-0.0129332343716457,-0.0467302515271272,25,-29.3305864605373
1.41,3.5616766260082,3.43623231766135,-1.23040407130054,-0.00223618440841444,-0.0635458817283903,-0.0129088314839218,-0.0467325551112348,25,-29.2832663744631
1.42,3.59597752650309,3.42394778131648,-1.22845363448688,-0.00222025590000877,-0.0633851573192261,-0.0128843630620535,-0.0467348551648771,25,-29.2357624006361
1.43,3.63015567921242,3.41168276055128,-1.22650207652012,-0.00220440943910157,-0.063224305528053,-0.0128598292210485,-0.0467371516854074,25,-29.1880749158233
1.44,3.66421127934757,3.39943726647885,-1.22454940724245,-0.00218864476975647,-0.0630633275000244,-0.0128352300776001,-0.0467394446701976,25,-29.1402043017655
1.45,3.69814452223054,3.38721131011339,-1.22259563654601,-0.00217296163613398,-0.0629022243835825,-0.0128105657500881,-0.0467417341166386,25,-29.0921509451749
1.46,3.73195560329295,3.37500490236967,-1.22064077437264,-0.00215735978249389,-0.0627409973304311,-0.0127858363585787,-0.0467440200221399,25,-29.043915237734
1.47,3.76564471807511,3.36281805406253,-1.21868483071365,-0.00214183895319774,-0.0625796474955083,-0.0127610420248247,-0.0467463023841303,25,-28.9954975760934
1.48,3.79921206222496,3.35065077590643,-1.21672781560955,-0.00212639889271128,-0.0624181760369589,-0.0127361828722657,-0.0467485812000573,25,-28.9468983618692
1.49,3.83265783149706,3.33850307851494,-1.21476973914983,-0.00211103934560695,-0.062256584116107,-0.0127112590260284,-0.0467508564673879,25,-28.8981180016409
1.5,3.86598222175164,3.32637497240021,-1.21281061147269,-0.00209576005656634,-0.0620948728974282,-0.0126862706129259,-0.0467531281836083,25,-28.8491569069484
1.51,3.8991854289535,3.31426646797256,-1.21085044276481,-0.00208056077038266,-0.061933043548521,-0.012661217761458,-0.0467553963462241,25,-28.8000154942887
1.52,3.93226764917107,3.30217757553995,-1.20888924326109,-0.00206544123196328,-0.0617710972400795,-0.0126361006018111,-0.0467576609527604,25,-28.7506941851133
